model,query,source_id,source_title,source_release_year,source_genres,rank,recommended_id,recommended_title,recommended_release_year,recommended_genres,vote_average,vote_count,score,genre_overlap
CountVectorizer + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,1,434853,Space/Time,2025,science fiction action thriller,6.008,61.0,0.517453433547237,0.3333333333333333
CountVectorizer + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,2,15493,Star Wreck: In the Pirkinning,2005,science fiction action comedy,6.753,75.0,0.41753653539358987,0.3333333333333333
CountVectorizer + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,3,3585,Clockmaker,1998,adventure science fiction,4.167,12.0,0.4130477008948667,0.75
CountVectorizer + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,4,559581,Stowaway,2021,science fiction drama thriller,6.007,675.0,0.40832097777690474,0.6
CountVectorizer + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,5,18221,Space Station 3D,2002,documentary,6.5,47.0,0.39970543865447916,0.0
CountVectorizer + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,6,22501,Time Masters,1982,animation science fiction adventure,7.2,184.0,0.3917131009286688,0.6
CountVectorizer + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,7,77069,Alice's Birthday,2009,animation family science fiction,5.1,11.0,0.390598694400455,0.3333333333333333
CountVectorizer + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,8,49047,Gravity,2013,science fiction thriller drama,7.169,16359.0,0.38991702964475417,0.6
CountVectorizer + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,9,32064,The Time Guardian,1987,science fiction,5.011,47.0,0.3837664504007079,0.5
CountVectorizer + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,10,647582,Time Loop,2020,science fiction,4.854,24.0,0.38237857884125925,0.5
TF-IDF + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,1,18221,Space Station 3D,2002,documentary,6.5,47.0,0.3676319995452078,0.0
TF-IDF + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,2,434853,Space/Time,2025,science fiction action thriller,6.008,61.0,0.352254288847005,0.3333333333333333
TF-IDF + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,3,49047,Gravity,2013,science fiction thriller drama,7.169,16359.0,0.3414074174482172,0.6
TF-IDF + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,4,301959,Interstellar: Nolan's Odyssey,2014,documentary tv movie,7.763,186.0,0.3317703442790045,0.0
TF-IDF + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,5,753325,The Real Right Stuff,2020,documentary history,6.625,16.0,0.31338764852059575,0.0
TF-IDF + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,6,615988,Thomas Pesquet: The Makings of a Hero,2019,documentary,7.3,12.0,0.3129070430278881,0.0
TF-IDF + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,7,15493,Star Wreck: In the Pirkinning,2005,science fiction action comedy,6.753,75.0,0.3077104626971058,0.3333333333333333
TF-IDF + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,8,559581,Stowaway,2021,science fiction drama thriller,6.007,675.0,0.30412472239952765,0.6
TF-IDF + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,9,325263,Journey to Space,2015,documentary,6.2,37.0,0.30262844371183145,0.0
TF-IDF + Cosine,Interstellar,157336,Interstellar,2014,adventure drama science fiction,10,13766,SpaceCamp,1986,family adventure science fiction,5.9,204.0,0.29311982680515264,0.6
CountVectorizer + Cosine,Inception,27205,Inception,2010,action science fiction adventure,1,334931,Dreams: Cinema of the Subconscious,2010,documentary,7.1,10.0,0.3562911677636917,0.0
CountVectorizer + Cosine,Inception,27205,Inception,2010,action science fiction adventure,2,28920,Dream a Little Dream 2,1995,comedy romance action,4.952,21.0,0.21870114009589728,0.16666666666666666
CountVectorizer + Cosine,Inception,27205,Inception,2010,action science fiction adventure,3,41517,Ra.One,2011,adventure action science fiction,5.745,379.0,0.20514213878333143,1.0
CountVectorizer + Cosine,Inception,27205,Inception,2010,action science fiction adventure,4,16517,The Can,2007,comedy crime drama,5.547,32.0,0.19556531635945598,0.0
CountVectorizer + Cosine,Inception,27205,Inception,2010,action science fiction adventure,5,586742,Dreambuilders,2020,animation adventure family,7.5,178.0,0.19061787281521853,0.16666666666666666
CountVectorizer + Cosine,Inception,27205,Inception,2010,action science fiction adventure,6,1050540,Tom Papa: What a Day!,2022,comedy,7.0,10.0,0.18776963343801223,0.0
CountVectorizer + Cosine,Inception,27205,Inception,2010,action science fiction adventure,7,758025,Peter's To-Do List,2019,science fiction action adventure,7.0,96.0,0.1876702581288882,1.0
