query,recommendation_count,avg_similarity_score,avg_genre_overlap,avg_vote_average,avg_vote_count
Avatar,10,0.8991,0.6833,6.1508,102.6
Inception,10,0.8541,0.53,6.5039,6326.4
Interstellar,10,0.9219,0.6283,7.1414,9617.0
La La Land,10,0.8907,0.4917,6.045,988.9
Parasite,10,0.8987,0.68,5.0176,212.3
Spirited Away,10,0.954,0.5219,7.4449,1471.1
The Dark Knight,10,0.9156,0.5067,6.9597,9388.5
Titanic,10,0.8513,0.3843,6.4005,1321.6
Toy Story,10,0.9079,0.74,6.9988,7284.4
__overall__,90,0.8992,0.574,6.5181,4079.2
