query,source_id,source_title,source_release_year,source_genres,rank,recommended_id,recommended_title,recommended_release_year,recommended_genres,vote_average,vote_count,recommendation_quality_score,similarity_score,genre_overlap
Interstellar,157336,Interstellar,2014,adventure drama science fiction,1,286217,The Martian,2015,science fiction drama adventure,7.7,21253,1.0,0.9460315,1.0
Interstellar,157336,Interstellar,2014,adventure drama science fiction,2,687163,Project Hail Mary,2026,science fiction adventure,8.671,4888,1.0,0.93543583,0.75
Interstellar,157336,Interstellar,2014,adventure drama science fiction,3,95,Armageddon,1998,action science fiction adventure,6.835,8589,1.0,0.9261312,0.6
Interstellar,157336,Interstellar,2014,adventure drama science fiction,4,13475,Star Trek,2009,science fiction action adventure,7.431,10500,1.0,0.92261237,0.6
Interstellar,157336,Interstellar,2014,adventure drama science fiction,5,75,Mars Attacks!,1996,comedy fantasy science fiction,6.423,5884,1.0,0.9219886,0.3333333333333333
Interstellar,157336,Interstellar,2014,adventure drama science fiction,6,329865,Arrival,2016,drama science fiction mystery,7.626,19383,1.0,0.91860884,0.6
Interstellar,157336,Interstellar,2014,adventure drama science fiction,7,7453,The Hitchhiker's Guide to the Galaxy,2005,adventure comedy science fiction,6.685,4248,1.0,0.9141648,0.6
Interstellar,157336,Interstellar,2014,adventure drama science fiction,8,406759,Moonfall,2022,science fiction adventure action,6.251,3587,1.0,0.91408527,0.6
Interstellar,157336,Interstellar,2014,adventure drama science fiction,9,274870,Passengers,2016,drama romance science fiction,6.955,14243,1.0,0.91025376,0.6
Interstellar,157336,Interstellar,2014,adventure drama science fiction,10,696506,Mickey 17,2025,science fiction comedy adventure,6.837,3595,1.0,0.9093883,0.6
Inception,27205,Inception,2010,action science fiction adventure,1,339988,The Circle,2017,drama thriller science fiction,5.523,4589,1.0,0.8851342,0.3333333333333333
Inception,27205,Inception,2010,action science fiction adventure,2,9620,Paycheck,2003,action adventure mystery science fiction thriller,6.22,2039,1.0,0.869462,0.6666666666666666
Inception,27205,Inception,2010,action science fiction adventure,3,1635,The Island,2005,action thriller science fiction,6.697,5884,1.0,0.8661348,0.6
Inception,27205,Inception,2010,action science fiction adventure,4,131634,The Hunger Games: Mockingjay - Part 2,2015,action adventure science fiction,6.9,13350,1.0,0.85448706,1.0
Inception,27205,Inception,2010,action science fiction adventure,5,97020,RoboCop,2014,action adventure crime science fiction thriller,5.886,5858,1.0,0.8509606,0.6666666666666666
Inception,27205,Inception,2010,action science fiction adventure,6,912974,Accused,2023,drama thriller,6.2,77,1.0,0.84813356,0.0
Inception,27205,Inception,2010,action science fiction adventure,7,1379587,Utopia,2024,mystery thriller action science fiction,5.643,63,1.0,0.844133,0.5
Inception,27205,Inception,2010,action science fiction adventure,8,798645,The Running Man,2025,action thriller science fiction,6.791,1615,1.0,0.8419043,0.6
Inception,27205,Inception,2010,action science fiction adventure,9,49530,In Time,2011,action thriller science fiction,6.971,12172,1.0,0.84096295,0.6
