metric,value
total_rows_preprocessed_full,80712
total_rows_model_ready,80549
total_rows_movie_documents,80549
total_columns_preprocessed_full,125
unique_movies,80712
duplicate_movies,0
avg_vote_average,6.0062
min_vote_average,1.2
max_vote_average,10.0
avg_vote_count,302.1196
min_vote_count,10
max_vote_count,39973
avg_popularity,1.2266
min_popularity,0.0
max_popularity,881.8242
avg_runtime,94.0688
min_runtime,0.0
max_runtime,999.0
avg_budget,3724498.0821
min_budget,0.0
max_budget,489900000.0
avg_revenue,9691389.0652
min_revenue,0.0
max_revenue,2923706026.0
avg_profit,5647600.5582
min_profit,-249219154.0
max_profit,2686706026.0
avg_roi,239.4198
min_roi,-1.0
max_roi,10933336.1667
avg_metadata_completeness_score,0.9596
min_metadata_completeness_score,0.2222
max_metadata_completeness_score,1.0
avg_recommendation_quality_score,0.9409
min_recommendation_quality_score,0.1429
max_recommendation_quality_score,1.0
avg_movie_document_length,739.0074
min_movie_document_length,11
max_movie_document_length,3056
rate_is_overview_available,0.9932
rate_is_genre_available,0.9953
rate_is_director_available,0.9956
rate_is_cast_available,0.9812
rate_is_keyword_available,0.685
rate_budget_valid,0.1982
rate_revenue_valid,0.2085
rate_runtime_valid,0.9359
rate_vote_count_valid,1.0
